Bankrupt?,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability
0,0.450397309,0.504034017,0.506986455,0.594639588,0.594639588,0.998905537,0.797293037,0.809239142,0.303488755,0.781491378,8010000000.0,0.0,0.462633888,0.000414041,0.0,0.178753529,0.178753529,0.178753529,0.20487851,0.318455118,0.029432672,0.087615015,0.16072908,0.021975238,0.847242468,0.68837111,0.68837111,0.217462057,6720000000.0,0.000426495,0.263435671,0.377035133,0.00975036,0.005754928,0.630234175,0.005869103,0.115609033,0.884390967,0.005180489,0.372957594,0.005919738,0.087628446,0.159716462,0.398019622,0.140929535,0.002140546,0.002953671,0.000138337,0.000162647,0.032741935,0.015463478,0.389091156,0.012668676,0.778115712,0.153374891,0.259177395,0.069737919,0.005650027,0.007309909,0.050257335,0.342192633,0.277531686,0.01093818,0.403584389,0.733788068,0.328358814,0.016590223,0.927051004,0.002077176,0.017202295,6500000000.0,3880000000.0,0.59393539,5450000000.0,0.671586291,0.457496849,0.403584389,0.328358814,0.117688423,0.666103393,0.464341731,0.570384529,0.318116311,0.029918535,0,0.780554329,0.004919312,0.623633775,0.594641021,0.838868677,0.279035542,0.026788158,0.565144055,1,0.032463577
0,0.530005362,0.572884867,0.574763103,0.605694807,0.605557878,0.999058059,0.797512168,0.809399285,0.303552563,0.781665133,0.000102454,272000000.0,0.464667052,0.000140014,0.259439214,0.200412962,0.200412962,0.200412962,0.235605559,0.324503077,0.047158825,0.116602883,0.193115915,0.022143603,0.848120646,0.689612601,0.689612803,0.217617934,6770000000.0,0.000503779,0.264237592,0.381347565,0.011341618,0.008709436,0.630654717,0.005874575,0.115669498,0.884330502,0.005411828,0.370860668,0.009225407,0.1165828,0.191395822,0.405505993,0.16191904,0.000566078,0.011177669,0.000109867,0.000285956,0.04,0.021547229,0.398928111,0.00898356,0.829014393,0.482054643,0.610928858,0.064894254,0.008669647,0.003394063,0.101202869,0.348803891,0.277235316,0.007250499,0.824851349,0.737243657,0.330566645,0.00210529,0.950851955,0.002451375,0.01852312,0.0001481,0.000119948,0.593966554,4450000000.0,0.671578456,0.265439546,0.824851349,0.330566645,0.112923874,0.654555993,0.461815272,0.595347531,0.316348047,0.025789656,0,0.819963004,0.00596763,0.624171281,0.605690059,0.841868914,0.279039827,0.026800956,0.565204691,1,0.032441724
0,0.571150002,0.620148277,0.624176883,0.612274608,0.612281814,0.999162514,0.797653829,0.809533258,0.303581809,0.781813203,0.000105923,4240000000.0,0.472700737,0.000260026,0.104464015,0.203278412,0.203278412,0.203278412,0.253852699,0.332708495,0.035588427,0.128654018,0.205317466,0.022168146,0.848113882,0.689630087,0.689640445,0.217619865,9670000000.0,0.000511715,0.264722475,0.387038486,0.01583084,0.012983367,0.630710881,0.005718637,0.113795084,0.886204916,0.005536411,0.373689002,0.005521839,0.128657971,0.204072091,0.401852569,0.136431784,0.000655352,0.009657711,0.000114453,0.000248888,0.031774194,0.017637296,0.403790054,0.010413675,0.841219246,0.455586569,0.533343096,0.144189864,0.013075595,0.011948707,0.063697181,0.358676502,0.27712133,0.007463982,0.523065789,0.738008546,0.328913216,0.010720369,0.947981568,0.002631541,0.018362538,0.00017919,0.000157258,0.59399638,0.000134516,0.671607519,0.276147012,0.523065789,0.328913216,0.11970574,0.691773428,0.470119904,0.63154283,0.321974452,0.018529378,0,0.839128318,0.006022085,0.625305623,0.61227055,0.843294303,0.278926664,0.026816349,0.565275723,1,0.033033744
0,0.510359284,0.537287396,0.552545639,0.600023062,0.600023062,0.999009183,0.797405508,0.809313355,0.303468452,0.781613904,6270000000.0,2360000000.0,0.462167535,0.000409041,0.732057901,0.194766339,0.194766339,0.194766339,0.234376477,0.319445427,0.090339852,0.115625763,0.177976953,0.022059831,0.847995231,0.689160174,0.689160174,0.217590601,5590000000.0,0.000424699,0.263489288,0.374371298,0.009247397,0.008378801,0.631458816,0.007031799,0.128609003,0.871390997,0.007174392,0.372080799,0.005710125,0.114555344,0.176834326,0.399742505,0.287856072,0.001444615,0.004379699,0.00126242,0.002158288,0.06483871,0.095415889,0.407396938,0.005093819,0.809457441,0.612446645,0.614336367,0.275644299,0.008961593,0.011759865,0.124174052,0.342800793,0.277039043,0.001094615,0.914600608,0.736222295,0.331974497,0.0,0.933201617,0.00224621,0.034974687,7010000000.0,7560000000.0,0.593934807,981000000.0,0.671565437,0.065429197,0.914600608,0.331974497,0.110933234,0.617999599,0.454356454,0.573563511,0.310453737,0.031509132,0,0.799276895,0.001124064,0.623992713,0.600018828,0.840313219,0.27987845,0.02687994,0.565548925,1,0.028857869
0,0.546043972,0.617804187,0.600567482,0.597716888,0.597716888,0.998991619,0.797579955,0.809485476,0.303809972,0.78176015,4310000000.0,119000000.0,0.460547042,0.000473047,0.051624658,0.251401121,0.251401121,0.251401121,0.286470644,0.313043786,0.082596004,0.107157398,0.237930255,0.022464374,0.850147398,0.690016669,0.690016669,0.217663289,0.000116426,0.000632668,0.265075258,0.372182482,0.009102624,0.008920918,0.630840331,0.009487593,0.150799649,0.849200351,0.012930045,0.374047996,0.008192576,0.107153908,0.228504638,0.401456011,0.166416792,0.00089071,0.007100253,0.022114028,0.003102397,0.046290323,0.165941571,0.409126885,0.006828284,0.801489165,0.569354256,0.546472932,0.039790091,0.009223698,0.001876815,0.112269325,0.338860539,0.276977594,4460000000.0,0.705312023,0.736202503,0.332212354,0.008391717,0.954352652,0.0030141,0.00849879,0.000158532,0.00017177,0.593954664,3240000000.0,0.671573538,0.022059583,0.705312023,0.332212354,0.119737457,0.644901157,0.459607858,0.555845046,0.314940614,0.031998765,0,0.834985182,0.003545569,0.624558678,0.597712991,0.843722636,0.281659828,0.026861466,0.565472731,1,0.024103248
0,0.442499878,0.507195813,0.494940843,0.598906009,0.598812321,0.998926797,0.797298294,0.809235757,0.303453467,0.78148408,0.000125813,7100000000.0,0.454061716,0.000287029,0.0,0.170199317,0.170199317,0.170199317,0.206296681,0.311381481,0.022853427,0.091604918,0.163214582,0.022040615,0.847802044,0.688825672,0.688825672,0.217520676,7010000000.0,0.000422004,0.263226644,0.361694795,0.011515721,0.008200383,0.630023904,0.005763321,0.114339269,0.885660731,0.007366104,0.376006245,0.008547212,0.091797352,0.162619712,0.397128706,0.133433283,0.001294472,0.004887775,0.000455136,0.00071716,0.030645161,0.043526284,0.38703331,0.006969074,0.80686766,0.434823203,0.429274778,0.009646615,0.01130956,0.000725298,0.070253348,0.327843922,0.27700576,0.000887964,0.57546011,0.735712128,0.32920328,0.011885331,0.928632968,0.002143165,0.029600597,0.00012597,0.000133714,0.593960264,809000000.0,0.671571903,0.083269907,0.57546011,0.32920328,0.11880928,0.642320732,0.459139981,0.51676242,0.314473669,0.025404261,0,0.780904873,0.009172737,0.624087282,0.598903338,0.838903365,0.278958815,0.026642694,0.564334789,1,0.032862358
0,0.54170526,0.608046228,0.590127951,0.59917266,0.59917266,0.999012418,0.797511891,0.809413477,0.303647309,0.781679308,4580000000.0,543000000.0,0.462801641,0.000523052,0.141917198,0.20129788,0.20129788,0.20129788,0.248085468,0.321249204,0.065777334,0.111065874,0.201174964,0.022097221,0.848047557,0.689619901,0.689619901,0.217618488,9310000000.0,0.000518876,0.264523549,0.378925897,0.008069242,0.007250897,0.630896837,0.006384337,0.121625299,0.878374701,0.019215619,0.373741565,0.006159208,0.111078542,0.200211145,0.404671346,0.242878561,0.000748684,0.008447722,0.000612389,0.009751256,0.052741935,0.124733046,0.413491328,0.001696566,0.788350764,0.511800269,0.536150014,0.038440057,0.007500876,0.00164453,0.12382881,0.344753042,0.277140823,0.001822974,0.963618553,0.734570129,0.331728108,0.0,0.948296672,0.002681175,0.013980394,924000000.0,9340000000.0,0.593933318,1970000000.0,0.671575855,0.011553423,0.963618553,0.331728108,0.110933234,0.651888156,0.461140062,0.580822037,0.315985426,0.035987425,0,0.832889625,0.00207009,0.623985569,0.599170531,0.842947903,0.279409231,0.026871717,0.565515314,1,0.030706404
0,0.445229854,0.500272569,0.500990417,0.601277043,0.601277043,0.99893997,0.797289163,0.809233023,0.303409961,0.781493764,0.000152062,7790000000.0,0.465249155,0.000268027,0.0,0.156377734,0.156377734,0.156377734,0.205634868,0.323618872,0.027980701,0.092500611,0.160804399,0.022036822,0.847969327,0.689029495,0.689029495,0.217555087,5350000000.0,0.000413893,0.263666457,0.390000373,0.007159416,0.003891517,0.630181093,0.010495263,0.158327539,0.841672461,0.005162886,0.375790401,0.005365848,0.092489456,0.159791871,0.405033071,0.16191904,0.001130127,0.005593104,7850000000.0,0.000250401,0.046612903,0.016714892,0.390787183,0.008110673,0.775725845,0.342297898,0.555880158,0.128716154,0.004276112,0.004736549,0.144040579,0.350723366,0.27821267,0.007798692,0.86602438,0.734150432,0.33433435,0.003808283,0.913886457,0.002150677,0.045303074,0.000120196,7460000000.0,0.593929734,803000000.0,0.671571985,0.339423332,0.86602438,0.33433435,0.115215104,0.642280975,0.459169896,0.616109535,0.314436571,0.040409427,0,0.774922308,0.002126596,0.623571709,0.601276675,0.837950587,0.282390644,0.02668619,0.564602693,1,0.022788275
0,0.6056647,0.672045355,0.674286632,0.613427694,0.613427694,0.999191863,0.79762367,0.809553569,0.303467485,0.781830466,9480000000.0,4820000000.0,0.471908944,0.000493049,0.0,0.182335342,0.182335342,0.182335342,0.251016356,0.331895027,0.030854394,0.128409739,0.198764781,0.022263675,0.848181337,0.689608937,0.689608937,0.217617509,0.000136994,0.000668628,0.265303712,0.397460974,0.014487942,0.012082542,0.630619786,0.003956812,0.089216072,0.910783928,0.005447479,0.369637181,0.005365848,0.128429984,0.196041023,0.401673046,0.205397301,0.000807523,0.007831199,0.000238268,0.000417587,0.040645161,0.006665394,0.397073788,0.002877321,0.867534981,0.682664734,0.732349668,0.299740691,0.013058288,0.016642859,0.095301087,0.372246319,0.277066678,0.004044028,1.0,0.738850567,0.329784826,0.0,0.933973529,0.00271043,0.022462868,0.000182844,0.000175595,0.593993143,0.000208211,0.671606658,0.271022478,1.0,0.329784826,0.110933234,0.706925094,0.477212226,0.65755493,0.323129983,0.02023887,0,0.85914514,0.001165223,0.624890342,0.6134254,0.844242094,0.27764848,0.026793678,0.565170387,1,0.042856224
0,0.534100327,0.584986917,0.577814658,0.612108851,0.611085487,0.999111095,0.797679007,0.809541461,0.303733112,0.781815168,0.000138186,3530000000.0,0.466248962,0.000648065,0.168033202,0.19063672,0.19063672,0.19063672,0.236929186,0.325281177,0.020115855,0.109274489,0.191684869,0.022088103,0.848028382,0.689332489,0.689332489,0.217585942,729000000.0,0.000476279,0.263784569,0.381114713,0.005899514,0.004287655,0.631304023,0.008261064,0.140490371,0.859509629,0.005438552,0.376348463,0.00584357,0.109279072,0.190619109,0.39846039,0.070464768,0.000906942,0.006972167,8540000000.0,0.00013617,0.023548387,0.012581702,0.398238394,0.012198053,0.750042555,0.180071764,0.245082684,0.051130683,0.004252579,0.003491486,0.077401716,0.348315615,0.252844397,0.004607176,0.517559385,0.731878859,0.330067572,0.01751563,0.941338793,0.002515507,0.015427189,0.000142116,0.000107534,0.593913846,8270000000.0,0.671572459,0.261427295,0.517559385,0.330067572,0.118755774,0.643058554,0.459297876,0.599494297,0.31458919,0.048681551,0,0.821743765,0.008844019,0.623329495,0.612108755,0.8423143,0.280769965,0.026996911,0.565979587,1,0.026130588
